agent_id,agent_team,agent_skill,channel,queue,call_start,call_end,wait_time_sec,handle_time_sec,hold_time_sec,transfers,outcome,satisfaction,segment,rpc_label,cost_usd,revenue_usd,contactability_score,account_age_days,prior_calls_30d,duration_sec,date,day_of_week,hour,week,agent_id_freq,cluster,_rpc_label
549,South,Billing,phone,Billing,2025-01-01 00:55:43,2025-01-01 00:57:14,24,67,0,0,resolved,4,B,0,1.34,0.0,0.5142,1658,1,91,2025-01-01,Wednesday,0,1,0.01715,0,0
533,West,Billing,phone,Sales,2025-01-01 01:02:44,2025-01-01 01:04:47,26,97,0,0,callback,3,B,0,1.62,26.51,0.0448,1104,2,123,2025-01-01,Wednesday,1,1,0.01725,0,0
549,South,Billing,phone,Retention,2025-01-01 01:36:04,2025-01-01 01:37:16,20,52,0,1,abandoned,3,C,0,1.44,0.0,0.0695,720,0,72,2025-01-01,Wednesday,1,1,0.01715,0,0
558,North,Sales,phone,Technical Support,2025-01-01 03:46:42,2025-01-01 03:49:49,20,167,0,0,callback,5,B,0,5.01,0.0,0.0447,101,0,187,2025-01-01,Wednesday,3,1,0.0166,1,0
517,North,Sales,email,Billing,2025-01-01 04:24:13,2025-01-01 04:26:25,32,100,0,0,resolved,3,A,0,2.0,0.0,0.0919,1788,1,132,2025-01-01,Wednesday,4,1,0.0161,0,0
539,South,Billing,phone,Retention,2025-01-01 05:54:39,2025-01-01 05:58:29,4,226,0,0,resolved,5,A,0,6.03,0.0,0.0933,1959,2,230,2025-01-01,Wednesday,5,1,0.0158,1,0
546,North,Retention,phone,Billing,2025-01-01 05:55:12,2025-01-01 05:56:08,22,34,0,0,resolved,5,A,0,0.68,0.0,0.1119,1837,1,56,2025-01-01,Wednesday,5,1,0.0175,0,0
542,North,Retention,phone,Sales,2025-01-01 06:05:49,2025-01-01 06:07:12,20,63,0,0,resolved,3,B,0,1.05,43.88,0.1611,199,1,83,2025-01-01,Wednesday,6,1,0.0147,0,0
530,West,Sales,phone,Billing,2025-01-01 07:16:47,2025-01-01 07:19:05,38,100,0,0,escalated,4,A,0,2.0,0.0,0.3811,614,3,138,2025-01-01,Wednesday,7,1,0.0165,0,0
520,North,Billing,email,Sales,2025-01-01 07:58:23,2025-01-01 07:59:44,9,72,0,0,escalated,4,C,0,1.2,50.74,0.252,703,4,81,2025-01-01,Wednesday,7,1,0.0132,0,0
532,North,Sales,email,Billing,2025-01-01 08:02:14,2025-01-01 08:04:32,11,127,0,0,escalated,4,A,0,2.54,0.0,0.4089,193,4,138,2025-01-01,Wednesday,8,1,0.01585,0,0
557,East,Tech,chat,Technical Support,2025-01-01 08:03:54,2025-01-01 08:12:42,45,483,0,0,resolved,4,B,0,14.49,0.0,0.0655,545,1,528,2025-01-01,Wednesday,8,1,0.0178,1,0
500,East,Tech,phone,Sales,2025-01-01 08:50:56,2025-01-01 08:52:13,5,72,0,0,callback,3,A,0,1.2,45.32,0.1572,1187,0,77,2025-01-01,Wednesday,8,1,0.0171,0,0
511,North,Tech,chat,Billing,2025-01-01 09:02:03,2025-01-01 09:04:32,66,75,8,0,resolved,5,B,0,1.5,0.0,0.1721,1936,1,149,2025-01-01,Wednesday,9,1,0.0167,0,0
519,South,Tech,phone,Billing,2025-01-01 09:12:23,2025-01-01 09:16:14,166,58,7,0,escalated,3,B,0,1.16,0.0,0.0591,1193,0,231,2025-01-01,Wednesday,9,1,0.0165,2,0
546,North,Retention,phone,Billing,2025-01-01 09:26:21,2025-01-01 09:29:00,50,109,0,0,resolved,3,B,0,2.18,0.0,0.1963,1719,2,159,2025-01-01,Wednesday,9,1,0.0175,0,0
527,East,Tech,chat,Technical Support,2025-01-01 09:38:06,2025-01-01 09:40:12,11,115,0,0,abandoned,3,A,0,3.45,0.0,0.3169,1095,3,126,2025-01-01,Wednesday,9,1,0.0163,0,0
537,West,Retention,phone,Retention,2025-01-01 09:39:16,2025-01-01 09:42:13,68,102,7,0,resolved,4,A,0,2.72,0.0,0.1366,1680,3,177,2025-01-01,Wednesday,9,1,0.01475,2,0
513,North,Tech,phone,Sales,2025-01-01 10:01:18,2025-01-01 10:06:04,34,252,0,0,resolved,5,B,0,4.2,68.86,0.256,410,2,286,2025-01-01,Wednesday,10,1,0.0162,1,0
535,South,Tech,phone,Billing,2025-01-01 10:16:41,2025-01-01 10:18:43,25,97,0,1,resolved,5,C,0,1.99,0.0,0.2238,1835,0,122,2025-01-01,Wednesday,10,1,0.0163,0,0
535,South,Tech,phone,Technical Support,2025-01-01 10:17:26,2025-01-01 10:21:21,109,120,6,1,escalated,4,C,0,3.65,0.0,0.093,934,1,235,2025-01-01,Wednesday,10,1,0.0163,2,0
504,North,Tech,phone,Billing,2025-01-01 10:36:31,2025-01-01 10:39:41,45,145,0,0,resolved,4,A,0,2.9,0.0,0.067,981,1,190,2025-01-01,Wednesday,10,1,0.0171,0,0
533,West,Billing,phone,Retention,2025-01-01 10:42:13,2025-01-01 10:48:41,112,251,25,0,resolved,4,B,0,6.7,0.0,0.1333,463,1,388,2025-01-01,Wednesday,10,1,0.01725,2,0
536,West,Billing,chat,Retention,2025-01-01 10:58:53,2025-01-01 11:03:25,136,123,13,0,resolved,3,C,0,3.28,0.0,0.1806,335,0,272,2025-01-01,Wednesday,10,1,0.01545,2,0
508,West,Retention,phone,Billing,2025-01-01 11:07:21,2025-01-01 11:08:43,29,53,0,0,resolved,4,C,0,1.06,0.0,0.1524,1250,0,82,2025-01-01,Wednesday,11,1,0.01635,0,0
557,East,Tech,phone,Technical Support,2025-01-01 11:19:38,2025-01-01 11:21:11,7,86,0,1,resolved,4,C,0,2.63,0.0,0.046,1246,1,93,2025-01-01,Wednesday,11,1,0.0178,0,0
